name,competition,tier
Eastern Conference,MLS Cup,1
U.S. Open Cup,U.S. Open Cup,1
Western Conference,MLS Cup,1
MLS Cup Playoffs,MLS Cup Playoffs,1
Premier League,Premier League,1
