name,league,playoff,start
MLS Cup,true,false,2018-01-01T00:00:00.000Z
U.S. Open Cup,false,false,2018-01-01T00:00:00.000Z
MLS Cup Playoffs,false,true,2019-10-10T00:00:00.000Z
Premier League,true,false,2018-01-01T00:00:00.000Z
